spire,period,label
353,1,no_drift
353,2,no_drift
353,3,no_drift
355,1,systematic
355,2,systematic
355,1,systematic
355,2,no_drift
355,3,systematic
355,1,systematic
355,2,systematic
355,3,systematic
356,1,no_drift
356,2,no_drift
356,1,no_drift
356,2,no_drift
356,3,no_drift
356,1,no_drift
356,2,no_drift
356,3,no_drift
358,1,no_drift
358,2,anomalous
358,1,no_drift
358,2,no_drift
358,3,anomalous
358,1,no_drift
358,2,no_drift
358,3,anomalous
359,1,anomalous
359,2,no_drift
359,1,no_drift
359,2,no_drift
359,3,no_drift
359,1,no_drift
359,2,anomalous
359,3,no_drift
360,1,no_drift
360,2,no_drift
360,1,no_drift
360,2,no_drift
360,3,no_drift
360,1,no_drift
360,2,no_drift
360,3,no_drift
361,1,no_drift
361,2,no_drift
361,1,no_drift
361,2,no_drift
361,3,no_drift
361,1,no_drift
361,2,no_drift
361,3,no_drift
362,1,no_drift
362,2,systematic
362,1,systematic
362,2,no_drift
362,3,systematic
362,1,systematic
362,2,no_drift
362,3,systematic
363,1,anomalous
363,2,no_drift
363,1,no_drift
363,2,no_drift
363,3,no_drift
363,1,no_drift
363,2,anomalous
363,3,no_drift
364,1,no_drift
364,2,systematic
364,1,no_drift
364,2,no_drift
364,3,systematic
364,1,no_drift
364,2,no_drift
364,3,systematic
365,1,no_drift
365,2,no_drift
365,1,no_drift
365,2,no_drift
365,3,no_drift
365,1,no_drift
365,2,no_drift
365,3,no_drift
366,1,anomalous
366,2,systematic
366,1,systematic
366,2,anomalous
366,3,systematic
366,1,systematic
366,2,anomalous
366,3,systematic
368,1,no_drift
368,2,no_drift
368,1,no_drift
368,2,no_drift
368,3,no_drift
368,1,no_drift
368,2,no_drift
368,3,no_drift
369,1,no_drift
369,2,no_drift
369,1,no_drift
369,2,no_drift
369,3,no_drift
369,1,no_drift
369,2,no_drift
369,3,no_drift
370,1,no_drift
370,2,anomalous
370,1,no_drift
370,2,no_drift
370,3,anomalous
370,1,no_drift
370,2,no_drift
370,3,anomalous
371,1,systematic
371,2,systematic
371,1,systematic
371,2,no_drift
371,3,systematic
371,1,systematic
371,2,systematic
371,3,systematic
372,1,systematic
372,2,systematic
372,1,systematic
372,2,anomalous
372,3,systematic
372,1,systematic
372,2,systematic
372,3,systematic
373,1,no_drift
373,2,systematic
373,1,no_drift
373,2,no_drift
373,3,systematic
373,1,no_drift
373,2,no_drift
373,3,systematic
375,1,systematic
375,2,systematic
375,1,systematic
375,2,anomalous
375,3,systematic
375,1,systematic
375,2,systematic
375,3,systematic
378,1,systematic
378,2,systematic
378,1,systematic
378,2,anomalous
378,3,systematic
378,1,systematic
378,2,systematic
378,3,systematic
379,1,systematic
379,2,systematic
379,1,systematic
379,2,no_drift
379,3,systematic
379,1,systematic
379,2,systematic
379,3,systematic
380,1,systematic
380,2,systematic
380,1,systematic
380,2,anomalous
380,3,systematic
380,1,systematic
380,2,systematic
380,3,systematic
381,1,no_drift
381,2,systematic
381,1,systematic
381,2,no_drift
381,3,systematic
381,1,systematic
381,2,no_drift
381,3,systematic
383,1,no_drift
383,2,systematic
383,1,systematic
383,2,no_drift
383,3,systematic
383,1,systematic
383,2,no_drift
383,3,systematic
384,1,no_drift
384,2,systematic
384,1,systematic
384,2,no_drift
384,3,systematic
384,1,systematic
384,2,no_drift
384,3,systematic
385,1,no_drift
385,2,systematic
385,1,systematic
385,2,no_drift
385,3,systematic
385,1,systematic
385,2,no_drift
385,3,systematic
386,1,anomalous
386,2,systematic
386,1,systematic
386,2,no_drift
386,3,systematic
386,1,systematic
386,2,anomalous
386,3,systematic
388,1,no_drift
388,2,anomalous
388,1,no_drift
388,2,no_drift
388,3,anomalous
388,1,no_drift
388,2,no_drift
388,3,anomalous
389,1,anomalous
389,2,anomalous
389,1,no_drift
389,2,no_drift
389,3,anomalous
389,1,no_drift
389,2,anomalous
389,3,anomalous
390,1,anomalous
390,2,no_drift
390,1,no_drift
390,2,no_drift
390,3,no_drift
390,1,no_drift
390,2,anomalous
390,3,no_drift
392,1,no_drift
392,2,no_drift
392,1,no_drift
392,2,no_drift
392,3,no_drift
392,1,no_drift
392,2,no_drift
392,3,no_drift
398,1,no_drift
398,2,no_drift
398,1,anomalous
398,2,no_drift
398,3,no_drift
398,1,anomalous
398,2,no_drift
398,3,no_drift
589,1,no_drift
589,2,systematic
589,1,systematic
589,2,no_drift
589,3,systematic
589,1,systematic
589,2,no_drift
589,3,systematic
815,1,no_drift
815,2,no_drift
815,1,anomalous
815,2,no_drift
815,3,no_drift
815,1,anomalous
815,2,no_drift
815,3,no_drift
817,1,systematic
817,2,systematic
817,1,systematic
817,2,anomalous
817,3,systematic
817,1,systematic
817,2,systematic
817,3,systematic
818,1,no_drift
818,2,no_drift
818,1,no_drift
818,2,no_drift
818,3,no_drift
818,1,no_drift
818,2,no_drift
818,3,no_drift
819,1,no_drift
819,2,no_drift
819,1,no_drift
819,2,no_drift
819,3,no_drift
819,1,no_drift
819,2,no_drift
819,3,no_drift
821,1,no_drift
821,2,no_drift
821,1,no_drift
821,2,no_drift
821,3,no_drift
821,1,no_drift
821,2,no_drift
821,3,no_drift
